Step TotalEnergy PotentialEnergy KineticEnergy Temperature
1320 -27608.850012825416343 -27698.31044798057701 89.460435155160894283 90.307288141935742942
1330 -27601.379445745678822 -27696.661846404756943 95.282400659077595151 96.184365705919447009
1340 -27595.800790995079296 -27695.224395314649882 99.423604319570756616 100.36477094957783152
1350 -27591.393645992786332 -27693.740159652959846 102.3465136601750487 103.31534922003775989
1360 -27588.934626988575474 -27692.285661873524077 103.35103488494939938 104.32937947299873827
1370 -27587.006199671974173 -27690.957052155819838 103.95085248384582144 104.93487508278639098
1380 -27583.191792424498999 -27689.711425606485136 106.5196331819843607 107.52797244787178954
1390 -27578.676197836648498 -27688.569058691580722 109.89286085493387191 110.93313186724030572
1400 -27571.817650670964213 -27687.393047498466331 115.57539682750365273 116.66946002797102722
1410 -27566.268618339767272 -27686.135641805929481 119.86702346616316106 121.00171218818951502
1420 -27563.239965111395577 -27684.762313450053625 121.52234833865907149 122.67270674538933406
1430 -27560.099083117071132 -27683.36683724928298 123.26775413221223232 124.43463495029496357
1440 -27556.325673801344237 -27682.178729862367618 125.8530560610218032 127.0444099398081903
1450 -27553.535084726485366 -27681.118865555083175 127.58378082859611879 128.79151814477762628
1460 -27550.899004191258427 -27680.147765925023123 129.2487617337641268 130.47226014086834311
1470 -27548.735056871144479 -27679.033643373106315 130.29858650196257486 131.53202279098070449
1480 -27546.592099801328004 -27677.839452323125442 131.24735252179903 132.48977004745270847
1490 -27547.283462644089013 -27676.560511587631481 129.27704894354315002 130.50081512385958149
1500 -27542.986922489391873 -27675.456571672460996 132.46964918307079984 133.72363724911508598
1510 -27538.315457854430861 -27674.297673138367827 135.98221528393784752 137.26945410590124652
1520 -27533.467930904396781 -27672.895925678290951 139.42799477389380058 140.74785213440750908
1530 -27524.06515624577878 -27671.418557886208873 147.35340164043046229 148.74828271913526123
1540 -27520.756901658947754 -27669.805994406320679 149.04909274737420333 150.46002562681161407
1550 -27517.370892990038556 -27667.978187858461752 150.60729486842274127 152.03297804633479018
1560 -27517.158886804361828 -27665.856527539919625 148.69764073555833761 150.10524668968628248
1570 -27515.538636198813037 -27663.868895388186502 148.33025918937420329 149.73438742556871262
1580 -27513.138293475774844 -27661.612994896102464 148.47470142032778995 149.88019697979191847
1590 -27508.979751304053934 -27659.509632028901251 150.52988072484728832 151.9548310827300952
1600 -27505.750567077182495 -27657.699176345173328 151.94860926799054823 153.38698963548711163
1610 -27502.802292387663329 -27655.968061869156372 153.16576948149219106 154.6156717665872975
1620 -27498.731679880256706 -27654.317134922595869 155.58545504234044188 157.05826262563473961
1630 -27495.923609222118102 -27652.543999718989653 156.62039049687004422 158.10299501642188602
1640 -27494.64427804990919 -27651.151746050876682 156.50746800096868583 157.98900357028838926
1650 -27491.333536023823399 -27649.646768788763438 158.31323276494089214 159.81186211746353365
1660 -27486.217365871230868 -27648.242643617180875 162.02527774594830134 163.55904616719732303
1670 -27481.998468524678174 -27646.62819898566886 164.62973046098929331 166.18815322867448003
1680 -27475.259422843024367 -27645.383863920917065 170.1244410778932945 171.73487803586627365
1690 -27472.908294145297987 -27644.473588069697144 171.56529392440040738 173.18937032571446366
1700 -27470.045727347209322 -27643.529261684299854 173.48353433709144156 175.12576924188272187
1710 -27469.037939726480545 -27642.751453655102523 173.71351392862308671 175.35792587294753275
1720 -27467.676853080014553 -27642.021728384235757 174.3448753042228816 175.99526386005982204
1730 -27469.845911001244531 -27641.550048635966959 171.70413763472353708 173.32952836242756689
1740 -27461.652423183233623 -27641.049813466670457 179.39739028343663563 181.09560710428760899
1750 -27463.829752444697078 -27640.357148669700109 176.52739622500340033 178.19844502418987986
1760 -27467.25638827999137 -27639.819162610736385 172.56277433074669148 174.19629311024613116
1770 -27466.408594701675611 -27639.049172293558513 172.64057759188273167 174.27483287488743713
1780 -27461.720034396232222 -27638.331115428394696 176.61108103216363929 178.28292201091829838
1790 -27459.986206837100326 -27637.55155204075345 177.56534520365210028 179.24621946580623444
1800 -27456.174979370476649 -27636.511229865158384 180.33625049468008683 182.04335478151170946
1810 -27456.045298410088435 -27635.172008246998303 179.12670983690881599 180.82236433460312242
1820 -27456.931191370604211 -27633.668683562238584 176.73749219163534008 178.41052980740360567
1830 -27456.617642772198451 -27632.491464897153492 175.87382212495410272 177.53868404188648356
1840 -27458.006149248722068 -27631.41966112110822 173.41351187238436182 175.05508392847303867
1850 -27457.372327318789758 -27629.937260791692097 172.56493347290322049 174.19847269133725831
1860 -27453.175357488638838 -27628.44805692565933 175.27269943701901411 176.93187098878814822
1870 -27456.119560317885771 -27627.058834580278926 170.93927426239301326 172.55742461807994914
1880 -27458.521197651443799 -27625.711742558287369 167.19054490684513326 168.77320893110689326
1890 -27457.334985557790787 -27624.348442434689787 167.01345687689862984 168.59444454527388757
1900 -27454.742395432545891 -27622.952415598636435 168.21002016608915142 169.80233477685584376
1910 -27450.844855825940613 -27621.852900457495707 171.00804463155466806 172.62684598332077712
1920 -27447.919424301038816 -27620.871676703922276 172.95225240288166901 174.5894580710945263
1930 -27449.545527174504969 -27619.866915279133536 170.32138810462885203 171.93368940830433189
1940 -27450.397542640876054 -27619.155205217084585 168.75766257620782085 170.35516129556833675
1950 -27448.181010450698523 -27618.333534436405898 170.15252398570842729 171.7632267829243915
1960 -27446.124717275572038 -27617.468146755731141 171.34342948016077912 172.96540566178623521
1970 -27448.492505299487675 -27616.32343829592719 167.83093299643826413 169.41965908115645334
1980 -27449.004467831011425 -27615.564484670394449 166.56001683938200131 168.13671214041713142
1990 -27448.011336929972458 -27614.442331837315578 166.43099490734175561 168.00646885719166335
2000 -27447.838123180143157 -27613.546380883628444 165.70825770348596961 167.27689005728643679
2010 -27444.41624431550008 -27612.493039226916153 168.07679491141652761 169.66784838138241298
2020 -27447.516983322453598 -27611.64093317026709 164.12394984781244034 165.67758478026991042
2030 -27443.84794642574343 -27610.608124898535607 166.76017847279308626 168.33876854973442505
2040 -27443.640498454966291 -27609.814604074694216 166.17410561972829441 167.74714779669324116
2050 -27442.13853247494626 -27609.189982619820512 167.05145014487260369 168.6327974662319491
2060 -27442.975020269594097 -27608.742704504693393 165.76768423509878403 167.33687913407021597
2070 -27439.247238982487033 -27608.409320839702559 169.16208185721708901 170.76340890219930202
2080 -27439.348103450549388 -27608.300098594052542 168.95199514350218806 170.55133345949280965
2090 -27435.480053748167848 -27608.030507906987623 172.55045415881843951 174.18385631274617253
2100 -27436.904683677028515 -27607.855202334521891 170.95051865749354647 172.56877545520214312
2110 -27438.530978959952336 -27607.68378083728021 169.15280187732895456 170.75404107589423575
2120 -27436.015060552472278 -27607.573064187025011 171.55800363455122692 173.18201102431035565
2130 -27438.721306614712375 -27607.633804291392153 168.91249767668097093 170.51146210059641817
2140 -27439.627865244587156 -27607.344559078224847 167.7166938336361568 169.30433850425146147
2150 -27415.907001792838855 -27597.436976027871424 181.52997423503214236 183.24837858443495975
2160 -27403.926883058007661 -27593.182653298714285 189.25577024070545917 191.04730874613233027
2170 -27390.384903982445394 -27574.947687689829763 184.56278370738479566 186.3098973264835081
2180 -27370.291782156811678 -27571.219365792159806 200.92758363534682076 202.82961020197291191
2190 -27356.74546157183795 -27569.155426751160121 212.40996517932256893 214.42068660182476947
2200 -27345.922138979207375 -27558.918015293365897 212.99587631415823807 215.01214410577500757
2210 -27333.025645659748989 -27563.881125260577392 230.85547960082772079 233.04081049122885361
2220 -27313.075024921305157 -27568.264534212452418 255.18950929114765813 257.60519168484489683
2230 -27299.569499872930464 -27543.153865509775642 243.58436563684645648 245.89019108038968398
2240 -27293.20404502387828 -27542.583529702722444 249.37948467884373827 251.7401680476912702
2250 -27282.552596530647861 -27537.025933187826013 254.47333665717812323 256.8822395965493115
2260 -27283.955364367473521 -27533.32549708935403 249.37013272188150381 251.7307275629606238
2270 -27275.079516984485963 -27527.579803256860032 252.50028627237455225 254.89051186450805631
2280 -27265.548366158694989 -27538.431123895588826 272.88275773689287007 275.46592847631569612
2290 -27263.306989443921339 -27527.976501093042316 264.66951164912183003 267.17493391830208793
2300 -27257.179611796447716 -27518.547028650686116 261.36741685423749004 263.84158073712876558
2310 -27245.277910419212276 -27526.720929448481911 281.44301902927082892 284.10722316441155044
2320 -27251.6191527363153 -27510.250936728989473 258.63178399267326313 261.08005174779009394
2330 -27232.870527496059367 -27509.99946011252905 277.12893261647042209 279.75229862068152897
2340 -27232.48369389868094 -27504.514504988779663 272.030811090100201 274.60591710726720294
2350 -27217.687790898817184 -27503.430269522676099 285.74247862385988128 288.44738242911603265
2360 -27221.875903349970031 -27491.003850933608192 269.12794758363781966 271.6755744294104602
2370 -27215.977072215380758 -27489.390529264244833 273.41345704886441581 276.00165150962999405
2380 -27200.150339696036099 -27489.127976325424243 288.97763662938848483 291.71316518194123546
2390 -27198.862712957616168 -27484.996606891341798 286.13389393372568748 288.84250296603170227
2400 -27198.092043589356763 -27490.746534959296696 292.65449136994004675 295.42482587233610047
2410 -27183.76655720785493 -27486.747197392527596 302.98064018467209735 305.84872437887850083
2420 -27188.042286061576306 -27476.608247284646495 288.56596122307115593 291.29759276185666295
2430 -27191.774067351721897 -27481.045540192120825 289.27147284039978103 292.00978291388389607
2440 -27186.940339059339749 -27467.828038701009064 280.88769964167022408 283.5466469961884286
2450 -27187.712726671055862 -27467.215427770548558 279.50270109949195785 282.14853774031774947
2460 -27182.072665944175242 -27478.441173709816212 296.36850776564125454 299.17399999862709592
2470 -27176.296218646442867 -27474.232089329518203 297.9358706830738015 300.75619993273284081
2480 -27175.653593940089195 -27471.072760403243592 295.41916646315371509 298.21567201374654132
2490 -27161.410069876630587 -27471.903897986598167 310.49382810996888793 313.43303386337299798
2500 -27166.727262910102581 -27475.333715275446593 308.60645236534384139 311.52779178729394971
2510 -27173.047300395050115 -27471.399607297054899 298.35230690200313575 301.17657823237294679
2520 -27166.486469252879033 -27472.814173439299338 306.32770418642138566 309.22747245573754071
2530 -27160.447599620911205 -27468.175671222270466 307.72807160135914728 310.64109606964041177
2540 -27165.955087698279385 -27470.042964937936631 304.08787723965849636 306.96644279364653585
2550 -27165.74322063823638 -27468.135756561394373 302.39253592315645847 305.25505298760839423
2560 -27165.366060505679343 -27467.454845469008433 302.0887849633296014 304.94842665156500061
2570 -27167.480542696888733 -27477.490428335637262 310.00988563874989268 312.94451028178417573
2580 -27155.91296780988705 -27467.466208030891721 311.55324022100501224 314.50247461230810586
2590 -27164.720589980854129 -27478.677842352852167 313.95725237199820867 316.92924369340988733
2600 -27168.010632740410074 -27474.834438562764262 306.82380582235305155 309.72827030347957589
2610 -27168.673809054944286 -27471.630403972238128 302.95659491729429647 305.82445149348768609
2620 -27160.250140006057336 -27471.712067036965891 311.46192703090690657 314.41029703062019962
2630 -27166.415517987501516 -27462.454940774536226 296.03942278703561897 298.84179982617570204
2640 -27153.941257364589546 -27466.217810087484395 312.2765527228932001 315.23263415614877658
2650 -27163.164192664684379 -27464.540451033237332 301.37625836855187345 304.22915511670402111
2660 -27163.705271427537809 -27467.728575835946685 304.02330440840773917 306.90125870117270779
2670 -27159.269429541218415 -27469.136398616152292 309.86696907493239905 312.8002408370118701
2680 -27159.475320587731403 -27482.085363375445013 322.61004278771537201 325.66394340673753049
2690 -27153.571784085856052 -27470.502547036994656 316.93076295114030927 319.93090220533127876
2700 -27173.772879608310177 -27473.586387214883871 299.81350760657244336 302.65161099777219533
2710 -27180.599674698576564 -27478.959192323243769 298.3595176246674896 301.18385721339097927
2720 -27158.383915839425754 -27464.559828357880178 306.17591251845277611 309.07424389304378565
2730 -27158.618429009467945 -27473.717449285992188 315.09902027652424295 318.08181983465505027
2740 -27165.642456014084019 -27490.32588618304726 324.68343016896358222 327.7569579482326958
2750 -27174.083103845048754 -27483.715755502569664 309.63265165751954555 312.56370531721171346
